('1-0', 'vattene')
('17-5', 'vattene')
('17-6', 'combinato')
('17-7', 'vattene')
('17-8', 'vattene')
('17-9', 'vattene')
('17', 'vattene')
('18-0', 'vattene')
('18-1', 'vattene')
('18-2', 'vattene')
('18-3', 'vattene')
('18-4', 'vattene')
('18-5', 'vattene')
('18-6', 'vattene')
('18-7', 'vattene')
('18-8', 'vattene')
('18-9', 'vattene')
('18', 'vattene')
('19-0', 'vattene')
('19-1', 'vattene')
('19-2', 'vattene')
('19-3', 'vattene')
('19-4', 'vattene')
('19-5', 'vattene')
('19-6', 'vattene')
('19-7', 'vattene')
('19-8', 'vattene')
('19-9', 'vattene')
('19', 'combinato')
('1', 'vattene')
('2-0', 'vattene')
('2-1', 'vattene')
('2-2', 'vattene')
('2-3', 'vattene')
('2-4', 'vattene')
('2-5', 'vattene')
('2-6', 'vattene')
('2-7', 'vattene')
('2-8', 'vattene')
('2-9', 'vattene')
('20-0', 'vattene')
('20-1', 'vattene')
('20-2', 'vattene')
('20-3', 'vattene')
('20-4', 'vattene')
('20-5', 'vattene')
('20-6', 'vattene')
('20-7', 'vattene')
('20-8', 'vattene')
('20-9', 'vattene')
('20', 'daccordo')
('21-0', 'vattene')
('21-1', 'combinato')
('21-2', 'combinato')
('21-3', 'combinato')
('21-4', 'vattene')
('21-5', 'combinato')
('21-6', 'vattene')
('21-7', 'combinato')
('21-8', 'combinato')
('21-9', 'vattene')
('21', 'combinato')
('22-0', 'vattene')
('22-1', 'vattene')
('22-2', 'vattene')
('22-3', 'vattene')
('22-4', 'vattene')
('22-5', 'vattene')
('22-6', 'vattene')
('22-7', 'vattene')
('22-8', 'vattene')
('22-9', 'vattene')
('22', 'vattene')
('23-0', 'vattene')
('23-1', 'vattene')
('23-2', 'vattene')
('23-3', 'vattene')
('23-4', 'vattene')
('23-5', 'vattene')
('23-6', 'vattene')
('23-7', 'vattene')
('23-8', 'vattene')
('23-9', 'vattene')
('23', 'vattene')
('24-0', 'vattene')
('24-1', 'combinato')
('24-2', 'combinato')
('24-3', 'combinato')
('24-4', 'combinato')
('24-5', 'vattene')
('24-6', 'combinato')
('24-7', 'combinato')
('24-8', 'vattene')
('24-9', 'vattene')
('249-0', 'vattene')
('249-1', 'vattene')
('249-2', 'vattene')
('249-3', 'vattene')
('249-4', 'vattene')
('249-5', 'vattene')
('249-6', 'vattene')
('249-7', 'vattene')
('249-8', 'vattene')
('249-9', 'vattene')
('249', 'combinato')
('24', 'vattene')
('25-0', 'vattene')
('25-1', 'vattene')
('25-2', 'vattene')
('25-3', 'vattene')
('25-4', 'vattene')
('25-5', 'vattene')
('25-6', 'vattene')
('25-7', 'vattene')
('25-8', 'vattene')
('25-9', 'vattene')
('250-0', 'combinato')
('250-1', 'vattene')
('250-2', 'combinato')
('250-3', 'vattene')
('250-4', 'combinato')
('250-5', 'vattene')
('250-6', 'combinato')
('250-7', 'combinato')
('250-8', 'combinato')
('250-9', 'combinato')
('250', 'combinato')
('251-0', 'vattene')
('251-1', 'vattene')
('251-2', 'vattene')
('251-3', 'vattene')
('251-4', 'vattene')
('251-5', 'vattene')
('251-6', 'vattene')
('251-7', 'vattene')
('251-8', 'vattene')
('251-9', 'vattene')
('251', 'combinato')
('252-0', 'vattene')
('252-1', 'vattene')
('252-2', 'vattene')
('252-3', 'vattene')
('252-4', 'vattene')
('252-5', 'vattene')
('252-6', 'vattene')
('252-7', 'vattene')
('252-8', 'vattene')
('252-9', 'vattene')
('252', 'combinato')
('253-0', 'vattene')
('253-1', 'vattene')
('253-2', 'vattene')
('253-3', 'vattene')
('253-4', 'vattene')
('253-5', 'vattene')
('253-6', 'vattene')
('253-7', 'vattene')
('253-8', 'vattene')
('253-9', 'vattene')
('253', 'combinato')
('254-0', 'combinato')
('254-1', 'combinato')
('254-2', 'combinato')
('254-3', 'combinato')
('254-4', 'combinato')
('254-5', 'combinato')
('254-6', 'combinato')
('254-7', 'combinato')
('254-8', 'combinato')
('254-9', 'combinato')
('254', 'combinato')
('255-0', 'combinato')
('255-1', 'combinato')
('255-2', 'combinato')
('255-3', 'combinato')
('255-4', 'combinato')
('255-5', 'combinato')
('255-6', 'combinato')
('255-7', 'combinato')
('255-8', 'combinato')
('255-9', 'combinato')
('255', 'combinato')
('256-0', 'vattene')
('256-1', 'vattene')
('256-2', 'vattene')
('256-3', 'vattene')
('256-4', 'vattene')
('256-5', 'vattene')
('256-6', 'vattene')
('256-7', 'vattene')
('256-8', 'vattene')
('256-9', 'vattene')
('256', 'combinato')
('257-0', 'vattene')
('257-1', 'vattene')
('257-2', 'vattene')
('257-3', 'vattene')
('257-4', 'vattene')
('257-5', 'vattene')
('257-6', 'vattene')
('257-7', 'vattene')
('257-8', 'vattene')
('257-9', 'vattene')
('257', 'combinato')
('258-0', 'vattene')
('258-1', 'vattene')
('258-2', 'vattene')
('258-3', 'vattene')
('258-4', 'vattene')
('258-5', 'vattene')
('258-6', 'vattene')
('258-7', 'vattene')
('258-8', 'vattene')
('258-9', 'vattene')
('258', 'combinato')
('259-0', 'vattene')
('259-1', 'vattene')
('259-2', 'vattene')
('259-3', 'vattene')
('259-4', 'vattene')
('259-5', 'vattene')
('259-6', 'vattene')
('259-7', 'vattene')
('259-8', 'vattene')
('259-9', 'vattene')
('259', 'combinato')
('25', 'vattene')
('26-0', 'vattene')
('26-1', 'vattene')
('26-2', 'vattene')
('26-3', 'vattene')
('26-4', 'vattene')
('26-5', 'vattene')
('26-6', 'vattene')
('26-7', 'vattene')
('26-8', 'vattene')
('26-9', 'vattene')
('260-0', 'vattene')
('260-1', 'vattene')
('260-2', 'vattene')
('260-3', 'vattene')
('260-4', 'vattene')
('260-5', 'vattene')
('260-6', 'vattene')
('260-7', 'vattene')
('260-8', 'vattene')
('260-9', 'vattene')
('260', 'combinato')
('261-0', 'vattene')
('261-1', 'vattene')
('261-2', 'vattene')
('261-3', 'vattene')
('261-4', 'vattene')
('261-5', 'vattene')
('261-6', 'vattene')
('261-7', 'vattene')
('261-8', 'vattene')
('261-9', 'vattene')
('261', 'combinato')
('262-0', 'vattene')
('262-1', 'vattene')
('262-2', 'vattene')
('262-3', 'vattene')
('262-4', 'vattene')
('262-5', 'vattene')
('262-6', 'vattene')
('262-7', 'vattene')
('262-8', 'vattene')
('262-9', 'vattene')
('262', 'combinato')
('263-0', 'vattene')
('263-1', 'vattene')
('263-2', 'vattene')
('263-3', 'vattene')
('263-4', 'vattene')
('263-5', 'vattene')
('263-6', 'vattene')
('263-7', 'vattene')
('263-8', 'vattene')
('263-9', 'vattene')
('263', 'combinato')
('264-0', 'combinato')
('264-1', 'combinato')
('264-2', 'vattene')
('264-3', 'combinato')
('264-4', 'combinato')
('264-5', 'vattene')
('264-6', 'combinato')
('264-7', 'vattene')
('264-8', 'combinato')
('264-9', 'combinato')
('264', 'combinato')
('265-0', 'combinato')
('265-1', 'combinato')
('265-2', 'combinato')
('265-3', 'combinato')
('265-4', 'combinato')
('265-5', 'combinato')
('265-6', 'combinato')
('265-7', 'combinato')
('265-8', 'combinato')
('265-9', 'combinato')
('265', 'combinato')
('266-0', 'combinato')
('266-1', 'combinato')
('266-2', 'combinato')
('266-3', 'combinato')
('266-4', 'combinato')
('266-5', 'combinato')
('266-6', 'combinato')
('266-7', 'combinato')
('266-8', 'combinato')
('266-9', 'combinato')
('266', 'combinato')
('267-0', 'combinato')
('267-1', 'combinato')
('267-2', 'combinato')
('267-3', 'combinato')
('267-4', 'combinato')
('267-5', 'combinato')
('267-6', 'combinato')
('267-7', 'combinato')
('267-8', 'combinato')
('267-9', 'combinato')
('267', 'daccordo')
('268-0', 'vattene')
('268-1', 'vattene')
('268-2', 'combinato')
('268-3', 'combinato')
('268-4', 'combinato')
('268-5', 'combinato')
('268-6', 'combinato')
('268-7', 'combinato')
('268-8', 'combinato')
('268-9', 'vattene')
('268', 'combinato')
('269-0', 'combinato')
('269-1', 'combinato')
('269-2', 'combinato')
('269-3', 'combinato')
('269-4', 'combinato')
('269-5', 'combinato')
('269-6', 'combinato')
('269-7', 'combinato')
('269-8', 'combinato')
('269-9', 'combinato')
('269', 'combinato')
('26', 'vattene')
('27-0', 'vattene')
('27-1', 'vattene')
('27-2', 'vattene')
('27-3', 'vattene')
('27-4', 'vattene')
('27-5', 'vattene')
('27-6', 'vattene')
('27-7', 'vattene')
('27-8', 'vattene')
('27-9', 'vattene')
('270-0', 'combinato')
('270-1', 'combinato')
('270-2', 'combinato')
('270-3', 'combinato')
('270-4', 'combinato')
('270-5', 'combinato')
('270-6', 'combinato')
('270-7', 'combinato')
('270-8', 'combinato')
('270-9', 'combinato')
('270', 'combinato')
('271-0', 'combinato')
('271-1', 'combinato')
('271-2', 'combinato')
('271-3', 'combinato')
('271-4', 'combinato')
('271-5', 'combinato')
('271-6', 'combinato')
('271-7', 'combinato')
('271-8', 'combinato')
('271-9', 'combinato')
('271', 'combinato')
('272-0', 'combinato')
('272-1', 'combinato')
('272-2', 'combinato')
('272-3', 'combinato')
('272-4', 'combinato')
('272-5', 'combinato')
('272-6', 'combinato')
('272-7', 'combinato')
('272-8', 'combinato')
('272-9', 'combinato')
('272', 'combinato')
('273-0', 'vattene')
('273-1', 'vattene')
('273-2', 'vattene')
('273-3', 'vattene')
('273-4', 'vattene')
('273-5', 'vattene')
('273-6', 'vattene')
('273-7', 'vattene')
('273-8', 'vattene')
('273-9', 'vattene')
('273', 'combinato')
('274-0', 'combinato')
('274-1', 'vattene')
('274-2', 'vattene')
('274-3', 'combinato')
('274-4', 'vattene')
('274-5', 'combinato')
('274-6', 'vattene')
('274-7', 'combinato')
('274-8', 'combinato')
('274-9', 'vattene')
('274', 'combinato')
('275-0', 'combinato')
('275-1', 'combinato')
('275-2', 'combinato')
('275-3', 'combinato')
('275-4', 'combinato')
('275-5', 'combinato')
('275-6', 'combinato')
('275-7', 'vattene')
('275-8', 'combinato')
('275-9', 'combinato')
('275', 'combinato')
('276-0', 'vattene')
('276-1', 'vattene')
('276-2', 'vattene')
('276-3', 'vattene')
('276-4', 'vattene')
('276-5', 'vattene')
('276-6', 'vattene')
('276-7', 'vattene')
('276-8', 'vattene')
('276-9', 'vattene')
('276', 'combinato')
('277-0', 'vattene')
('277-1', 'vattene')
('277-2', 'vattene')
('277-3', 'vattene')
('277-4', 'vattene')
('277-5', 'vattene')
('277-6', 'vattene')
('277-7', 'vattene')
('277-8', 'vattene')
('277-9', 'vattene')
('277', 'combinato')
('278-0', 'combinato')
('278-1', 'combinato')
('278-2', 'combinato')
('278-3', 'combinato')
('278-4', 'combinato')
('278-5', 'combinato')
('278-6', 'combinato')
('278-7', 'combinato')
('278-8', 'combinato')
('278-9', 'combinato')
('278', 'combinato')
('279-0', 'vattene')
('279-1', 'vattene')
('279-2', 'vattene')
('279-3', 'vattene')
('279-4', 'vattene')
('279-5', 'vattene')
('279-6', 'vattene')
('279-7', 'vattene')
('279-8', 'vattene')
('279-9', 'vattene')
('279', 'combinato')
('27', 'vattene')
('28-0', 'vattene')
('28-1', 'vattene')
('28-2', 'vattene')
('28-3', 'vattene')
('28-4', 'vattene')
('28-5', 'vattene')
('28-6', 'vattene')
('28-7', 'vattene')
('28-8', 'vattene')
('28-9', 'vattene')
('28', 'vattene')
('29-0', 'vattene')
('29-1', 'vattene')
('29-2', 'vattene')
('29-3', 'vattene')
('29-4', 'vattene')
('29-5', 'vattene')
('29-6', 'vattene')
('29-7', 'vattene')
('29-8', 'vattene')
('29-9', 'vattene')
('29', 'combinato')
('2', 'vattene')
('3-0', 'vattene')
('3-1', 'vattene')
('3-2', 'vattene')
('3-3', 'vattene')
('3-4', 'vattene')
('3-5', 'vattene')
('3-6', 'vattene')
('3-7', 'vattene')
('3-8', 'vattene')
('3-9', 'vattene')
('30-0', 'vattene')
('30-1', 'vattene')
('30-2', 'vattene')
('30-3', 'vattene')
('30-4', 'vattene')
('30-5', 'vattene')
('30-6', 'vattene')
('30-7', 'vattene')
('30-8', 'vattene')
('30-9', 'vattene')
('30', 'combinato')
('31-0', 'vattene')
('31-1', 'vattene')
('31-2', 'vattene')
('31-3', 'vattene')
('31-4', 'vattene')
('31-5', 'vattene')
('31-6', 'vattene')
('31-7', 'vattene')
('31-8', 'vattene')
('31-9', 'vattene')
('31', 'vattene')
('3', 'vattene')
('4-0', 'vattene')
('4-1', 'vattene')
('4-2', 'vattene')
('4-3', 'vattene')
('4-4', 'vattene')
('4-5', 'vattene')
('4-6', 'vattene')
('4-7', 'vattene')
('4-8', 'vattene')
('4-9', 'vattene')
('4', 'combinato')
('5-0', 'vattene')
('5-1', 'vattene')
('5-2', 'vattene')
('5-3', 'vattene')
('5-4', 'vattene')
('5-5', 'vattene')
('5-6', 'vattene')
('5-7', 'vattene')
('5-8', 'vattene')
('5-9', 'vattene')
('559-0', 'vattene')
('559-1', 'vattene')
('559-2', 'vattene')
('559-3', 'vattene')
('559-4', 'vattene')
('559-5', 'vattene')
('559-6', 'vattene')
('559-7', 'vattene')
('559-8', 'vattene')
('559-9', 'vattene')
('559', 'combinato')
('560-0', 'daccordo')
('560-1', 'daccordo')
('560-2', 'daccordo')
('560-3', 'daccordo')
('560-4', 'daccordo')
('560-5', 'daccordo')
('560-6', 'daccordo')
('560-7', 'daccordo')
('560-8', 'daccordo')
('560-9', 'daccordo')
('560', 'combinato')
('561-0', 'daccordo')
('561-1', 'daccordo')
('561-2', 'daccordo')
('561-3', 'daccordo')
('561-4', 'daccordo')
('561-5', 'daccordo')
('561-6', 'daccordo')
('561-7', 'daccordo')
('561-8', 'daccordo')
('561-9', 'daccordo')
('561', 'combinato')
('562-0', 'vattene')
('562-1', 'vattene')
('562-2', 'vattene')
('562-3', 'vattene')
('562-4', 'vattene')
('562-5', 'vattene')
('562-6', 'vattene')
('562-7', 'vattene')
('562-8', 'vattene')
('562-9', 'vattene')
('562', 'daccordo')
('563-0', 'vattene')
('563-1', 'combinato')
('563-2', 'vattene')
('563-3', 'vattene')
('563-4', 'vattene')
('563-5', 'vattene')
('563-6', 'vattene')
('563-7', 'vattene')
('563-8', 'daccordo')
('563-9', 'vattene')
('563', 'daccordo')
('564-0', 'combinato')
('564-1', 'combinato')
('564-2', 'combinato')
('564-3', 'vattene')
('564-4', 'combinato')
('564-5', 'combinato')
('564-6', 'combinato')
('564-7', 'combinato')
('564-8', 'combinato')
('564-9', 'combinato')
('564', 'combinato')
('565-0', 'daccordo')
('565-1', 'vattene')
('565-2', 'daccordo')
('565-3', 'daccordo')
('565-4', 'daccordo')
('565-5', 'daccordo')
('565-6', 'daccordo')
('565-7', 'daccordo')
('565-8', 'daccordo')
('565-9', 'daccordo')
('565', 'combinato')
('566-0', 'vattene')
('566-1', 'vattene')
('566-2', 'daccordo')
('566-3', 'vattene')
('566-4', 'vattene')
('566-5', 'daccordo')
('566-6', 'vattene')
('566-7', 'vattene')
('566-8', 'vattene')
('566-9', 'vattene')
('566', 'daccordo')
('567-0', 'daccordo')
('567-1', 'daccordo')
('567-2', 'daccordo')
('567-3', 'daccordo')
('567-4', 'daccordo')
('567-5', 'daccordo')
('567-6', 'daccordo')
('567-7', 'daccordo')
('567-8', 'daccordo')
('567-9', 'daccordo')
('567', 'combinato')
('568-0', 'vattene')
('568-1', 'vattene')
('568-2', 'vattene')
('568-3', 'vattene')
('568-4', 'vattene')
('568-5', 'vattene')
('568-6', 'vattene')
('568-7', 'vattene')
('568-8', 'vattene')
('568-9', 'vattene')
('568', 'combinato')
('569-0', 'vattene')
('569-1', 'daccordo')
('569-2', 'daccordo')
('569-3', 'vattene')
('569-4', 'vattene')
('569-5', 'daccordo')
('569-6', 'vattene')
('569-7', 'vattene')
('569-8', 'vattene')
('569-9', 'daccordo')
('569', 'daccordo')
('570-0', 'combinato')
('570-1', 'combinato')
('570-2', 'vattene')
('570-3', 'combinato')
('570-4', 'combinato')
('570-5', 'combinato')
('570-6', 'vattene')
('570-7', 'combinato')
('570-8', 'combinato')
('570-9', 'combinato')
('570', 'combinato')
('571-0', 'vattene')
('571-1', 'daccordo')
('571-2', 'vattene')
('571-3', 'vattene')
('571-4', 'daccordo')
('571-5', 'vattene')
('571-6', 'daccordo')
('571-7', 'vattene')
('571-8', 'vattene')
('571-9', 'vattene')
('571', 'combinato')
('572-0', 'vattene')
('572-1', 'vattene')
('572-2', 'vattene')
('572-3', 'vattene')
('572-4', 'vattene')
('572-5', 'vattene')
('572-6', 'vattene')
('572-7', 'vattene')
('572-8', 'vattene')
('572-9', 'vattene')
('572', 'daccordo')
('573-0', 'vattene')
('573-1', 'vattene')
('573-2', 'vattene')
('573-3', 'vattene')
('573-4', 'vattene')
('573-5', 'vattene')
('573-6', 'vattene')
('573-7', 'vattene')
('573-8', 'vattene')
('573-9', 'vattene')
('573', 'daccordo')
('574-0', 'vattene')
('574-1', 'vattene')
('574-2', 'vattene')
('574-3', 'vattene')
('574-4', 'vattene')
('574-5', 'vattene')
('574-6', 'vattene')
('574-7', 'vattene')
('574-8', 'vattene')
('574-9', 'vattene')
('574', 'combinato')
('575-0', 'vattene')
('575-1', 'vattene')
('575-2', 'vattene')
('575-3', 'vattene')
('575-4', 'vattene')
('575-5', 'vattene')
('575-6', 'vattene')
('575-7', 'vattene')
('575-8', 'vattene')
('575-9', 'vattene')
('575', 'combinato')
('576-0', 'vattene')
('576-1', 'vattene')
('576-2', 'vattene')
('576-3', 'vattene')
('576-4', 'vattene')
('576-5', 'vattene')
('576-6', 'vattene')
('576-7', 'vattene')
('576-8', 'vattene')
('576-9', 'vattene')
('576', 'combinato')
('577-0', 'vattene')
('577-1', 'combinato')
('577-2', 'vattene')
('577-3', 'vattene')
('577-4', 'vattene')
('577-5', 'vattene')
('577-6', 'vattene')
('577-7', 'combinato')
('577-8', 'combinato')
('577-9', 'vattene')
('577', 'daccordo')
('578-0', 'vattene')
('578-1', 'vattene')
('578-2', 'vattene')
('578-3', 'vattene')
('578-4', 'vattene')
('578-5', 'vattene')
('578-6', 'vattene')
('578-7', 'vattene')
('578-8', 'vattene')
('578-9', 'vattene')
('578', 'combinato')
('579-0', 'vattene')
('579-1', 'vattene')
('579-2', 'vattene')
('579-3', 'vattene')
('579-4', 'combinato')
('579-5', 'combinato')
('579-6', 'vattene')
('579-7', 'vattene')
('579-8', 'vattene')
('579-9', 'combinato')
('579', 'combinato')
('580-0', 'vattene')
('580-1', 'vattene')
('580-2', 'vattene')
('580-3', 'vattene')
('580-4', 'vattene')
('580-5', 'vattene')
('580-6', 'vattene')
('580-7', 'combinato')
('580-8', 'vattene')
('580-9', 'vattene')
('580', 'combinato')
('581-0', 'vattene')
('581-1', 'vattene')
('581-2', 'vattene')
('581-3', 'vattene')
('581-4', 'vattene')
('581-5', 'vattene')
('581-6', 'vattene')
('581-7', 'vattene')
('581-8', 'vattene')
('581-9', 'vattene')
('581', 'combinato')
('582-0', 'vattene')
('582-1', 'vattene')
('582-2', 'vattene')
('582-3', 'vattene')
('582-4', 'vattene')
('582-5', 'vattene')
('582-6', 'vattene')
('582-7', 'vattene')
('582-8', 'vattene')
('582-9', 'vattene')
('582', 'combinato')
('583-0', 'vattene')
('583-1', 'vattene')
('583-2', 'vattene')
('583-3', 'vattene')
('583-4', 'vattene')
('583-5', 'vattene')
('583-6', 'vattene')
('583-7', 'vattene')
('583-8', 'vattene')
('583-9', 'vattene')
('583', 'vattene')
('584-0', 'combinato')
('584-1', 'combinato')
('584-2', 'combinato')
('584-3', 'combinato')
('584-4', 'combinato')
('584-5', 'combinato')
('584-6', 'vattene')
('584-7', 'combinato')
('584-8', 'combinato')
('584-9', 'combinato')
('584', 'combinato')
('585-0', 'vattene')
('585-1', 'vattene')
('585-2', 'vattene')
('585-3', 'combinato')
('585-4', 'vattene')
('585-5', 'vattene')
('585-6', 'combinato')
('585-7', 'vattene')
('585-8', 'vattene')
('585-9', 'vattene')
('585', 'combinato')
('586-0', 'vattene')
('586-1', 'vattene')
('586-2', 'vattene')
('586-3', 'vattene')
('586-4', 'vattene')
('586-5', 'vattene')
('586-6', 'vattene')
('586-7', 'vattene')
('586-8', 'vattene')
('586-9', 'vattene')
('586', 'combinato')
('587-0', 'vattene')
('587-1', 'vattene')
('587-2', 'vattene')
('587-3', 'vattene')
('587-4', 'vattene')
('587-5', 'vattene')
('587-6', 'vattene')
('587-7', 'vattene')
('587-8', 'vattene')
('587-9', 'vattene')
('587', 'combinato')
('588-0', 'vattene')
('588-1', 'vattene')
('588-2', 'vattene')
('588-3', 'vattene')
('588-4', 'vattene')
('588-5', 'vattene')
('588-6', 'vattene')
('588-7', 'vattene')
('588-8', 'vattene')
('588-9', 'vattene')
('588', 'combinato')
('589-0', 'combinato')
('589-1', 'combinato')
('589-2', 'combinato')
('589-3', 'combinato')
('589-4', 'combinato')
('589-5', 'combinato')
('589-6', 'combinato')
('589-7', 'combinato')
('589-8', 'combinato')
('589-9', 'combinato')
('589', 'combinato')
('5', 'combinato')
('6-0', 'vattene')
('6-1', 'vattene')
('6-2', 'vattene')
('6-3', 'vattene')
('6-4', 'vattene')
('6-5', 'vattene')
('6-6', 'vattene')
('6-7', 'vattene')
('6-8', 'vattene')
('6-9', 'vattene')
('6', 'vattene')
('7-0', 'vattene')
('7-1', 'vattene')
('7-2', 'vattene')
('7-3', 'vattene')
('7-4', 'vattene')
('7-5', 'vattene')
('7-6', 'vattene')
('7-7', 'vattene')
('7-8', 'vattene')
('7-9', 'vattene')
('7', 'combinato')
('8-0', 'daccordo')
('8-1', 'vattene')
('8-2', 'vattene')
('8-3', 'vattene')
('8-4', 'combinato')
('8-5', 'vattene')
('8-6', 'vattene')
('8-7', 'vattene')
('8-8', 'vattene')
('8-9', 'vattene')
('8', 'daccordo')
('9-0', 'vattene')
('9-1', 'vattene')
('9-2', 'vattene')
('9-3', 'vattene')
('9-4', 'vattene')
('9-5', 'vattene')
('9-6', 'vattene')
('9-7', 'vattene')
('9-8', 'vattene')
('9-9', 'vattene')
('9', 'vattene')
